Time,Off,Def
América Mineiro30 pts ,1.0 ,1.2 
Atlético Mineiro42 pts ,1.6 ,1.0 
Atlético-PR30 pts ,1.4 ,1.0 
Bahía29 pts ,1.3 ,1.0 
Botafogo29 pts ,1.3 ,1.1 
Ceará27 pts ,1.1 ,1.0 
Chapecoense25 pts ,1.2 ,1.1 
Corinthians30 pts ,1.2 ,0.9 
Cruzeiro34 pts ,1.3 ,0.8 
Flamengo45 pts ,1.6 ,0.9 
Fluminense31 pts ,1.3 ,1.0 
Grêmio44 pts ,1.5 ,0.6 
Internacional49 pts ,1.5 ,0.7 
Palmeiras47 pts ,1.6 ,0.7 
Paraná16 pts ,0.9 ,1.2 
Santos32 pts ,1.3 ,0.9 
Sport Recife24 pts ,1.1 ,1.2 
São Paulo50 pts ,1.5 ,0.8 
Vasco da Gama25 pts ,1.3 ,1.2 
Vitória29 pts ,1.2 ,1.3 
